nb_calls,reason,year,month,day,weekday,hour
5,NW,2010,1,2,Saturday,21
39,PS,2010,1,2,Saturday,21
1,TT,2010,1,2,Saturday,21
1,NW,2010,1,2,Saturday,22
29,PS,2010,1,2,Saturday,22
3,NW,2010,1,2,Saturday,23
40,PS,2010,1,2,Saturday,23
3,NE,2010,1,3,Sunday,0
16,NW,2010,1,3,Sunday,0
2,PE,2010,1,3,Sunday,0
118,PS,2010,1,3,Sunday,0
4,TT,2010,1,3,Sunday,0
3,PS,2010,1,3,Sunday,1
1,PS,2010,1,3,Sunday,4
3,PS,2010,1,3,Sunday,5
6,PS,2010,1,3,Sunday,6
2,NW,2010,1,3,Sunday,7
2,PE,2010,1,3,Sunday,7
67,PS,2010,1,3,Sunday,7
3,IN,2010,1,3,Sunday,8
3,NE,2010,1,3,Sunday,8
47,NW,2010,1,3,Sunday,8
83,PS,2010,1,3,Sunday,8
4,TT,2010,1,3,Sunday,8
2,IN,2010,1,3,Sunday,9
9,NE,2010,1,3,Sunday,9
16,NW,2010,1,3,Sunday,9
2,PE,2010,1,3,Sunday,9
100,PS,2010,1,3,Sunday,9
1,TT,2010,1,3,Sunday,9
5,IN,2010,1,3,Sunday,10
19,NE,2010,1,3,Sunday,10
13,NW,2010,1,3,Sunday,10
1,PE,2010,1,3,Sunday,10
132,PS,2010,1,3,Sunday,10
1,TT,2010,1,3,Sunday,10
1,IN,2010,1,3,Sunday,11
16,NE,2010,1,3,Sunday,11
10,NW,2010,1,3,Sunday,11
108,PS,2010,1,3,Sunday,11
1,TT,2010,1,3,Sunday,11
9,NE,2010,1,3,Sunday,13
12,NW,2010,1,3,Sunday,13
115,PS,2010,1,3,Sunday,13
3,TT,2010,1,3,Sunday,13
8,NE,2010,1,3,Sunday,14
9,NW,2010,1,3,Sunday,14
2,PE,2010,1,3,Sunday,14
125,PS,2010,1,3,Sunday,14
6,TT,2010,1,3,Sunday,14
1,IN,2010,1,3,Sunday,15
12,NE,2010,1,3,Sunday,15
28,NW,2010,1,3,Sunday,15
124,PS,2010,1,3,Sunday,15
1,IN,2010,1,3,Sunday,16
5,NE,2010,1,3,Sunday,16
154,NW,2010,1,3,Sunday,16
2,PE,2010,1,3,Sunday,16
84,PS,2010,1,3,Sunday,16
11,TT,2010,1,3,Sunday,16
1,NE,2010,1,3,Sunday,17
93,NW,2010,1,3,Sunday,17
77,PS,2010,1,3,Sunday,17
16,TT,2010,1,3,Sunday,17
1,IN,2010,1,3,Sunday,18
23,NW,2010,1,3,Sunday,18
64,PS,2010,1,3,Sunday,18
1,TT,2010,1,3,Sunday,18
1,NE,2010,1,3,Sunday,19
7,NW,2010,1,3,Sunday,19
1,PE,2010,1,3,Sunday,19
69,PS,2010,1,3,Sunday,19
3,NW,2010,1,3,Sunday,20
1,PE,2010,1,3,Sunday,20
70,PS,2010,1,3,Sunday,20
1,TT,2010,1,3,Sunday,20
2,IN,2010,1,3,Sunday,21
4,NW,2010,1,3,Sunday,21
1,PE,2010,1,3,Sunday,21
58,PS,2010,1,3,Sunday,21
7,NW,2010,1,3,Sunday,22
41,PS,2010,1,3,Sunday,22
1,NE,2010,1,3,Sunday,23
4,NW,2010,1,3,Sunday,23
47,PS,2010,1,3,Sunday,23
2,TT,2010,1,3,Sunday,23
6,NE,2010,1,4,Monday,0
9,NW,2010,1,4,Monday,0
3,PE,2010,1,4,Monday,0
107,PS,2010,1,4,Monday,0
1,PS,2010,1,4,Monday,2
2,PS,2010,1,4,Monday,5
6,PS,2010,1,4,Monday,6
1,TT,2010,1,4,Monday,6
5,NW,2010,1,4,Monday,7
47,PS,2010,1,4,Monday,7
2,TT,2010,1,4,Monday,7
2,IN,2010,1,4,Monday,8
3,NE,2010,1,4,Monday,8
53,NW,2010,1,4,Monday,8
76,PS,2010,1,4,Monday,8
1,TT,2010,1,4,Monday,8
5,IN,2010,1,4,Monday,9
14,NE,2010,1,4,Monday,9
17,NW,2010,1,4,Monday,9
2,PE,2010,1,4,Monday,9
76,PS,2010,1,4,Monday,9
2,IN,2010,1,4,Monday,10
16,NE,2010,1,4,Monday,10
10,NW,2010,1,4,Monday,10
133,PS,2010,1,4,Monday,10
3,TT,2010,1,4,Monday,10
3,IN,2010,1,4,Monday,11
12,NE,2010,1,4,Monday,11
15,NW,2010,1,4,Monday,11
2,PE,2010,1,4,Monday,11
115,PS,2010,1,4,Monday,11
1,TT,2010,1,4,Monday,11
3,IN,2010,1,4,Monday,13
20,NE,2010,1,4,Monday,13
12,NW,2010,1,4,Monday,13
29,PS,2010,1,4,Monday,13
6,TT,2010,1,4,Monday,13
14,NE,2010,1,4,Monday,14
22,NW,2010,1,4,Monday,14
2,PE,2010,1,4,Monday,14
148,PS,2010,1,4,Monday,14
13,TT,2010,1,4,Monday,14
10,NE,2010,1,4,Monday,15
13,NW,2010,1,4,Monday,15
2,PE,2010,1,4,Monday,15
114,PS,2010,1,4,Monday,15
5,TT,2010,1,4,Monday,15
7,NE,2010,1,4,Monday,16
17,NW,2010,1,4,Monday,16
73,PS,2010,1,4,Monday,16
