nb_calls,reason,year,month,day,weekday,hour
31,NW,2010,1,4,Monday,19
18,PS,2010,1,4,Monday,19
33,PS,2010,1,4,Monday,19
47,PS,2010,1,4,Monday,20
10,PS,2010,1,4,Monday,20
16,PS,2010,1,4,Monday,20
41,PS,2010,1,4,Monday,21
15,PS,2010,1,4,Monday,21
18,NE,2010,1,4,Monday,21
26,PS,2010,1,4,Monday,22
14,PE,2010,1,4,Monday,22
20,PS,2010,1,4,Monday,22
26,NW,2010,1,4,Monday,23
15,PS,2010,1,4,Monday,23
12,PS,2010,1,4,Monday,23
53,PS,2010,1,5,Tuesday,0
16,PS,2010,1,5,Tuesday,0
34,NE,2010,1,5,Tuesday,0
2,NW,2010,1,5,Tuesday,1
1,PS,2010,1,5,Tuesday,3
1,NW,2010,1,5,Tuesday,5
1,TT,2010,1,5,Tuesday,6
1,TT,2010,1,5,Tuesday,6
27,PS,2010,1,5,Tuesday,7
1,PS,2010,1,5,Tuesday,7
2,PS,2010,1,5,Tuesday,7
100,PS,2010,1,5,Tuesday,8
9,PS,2010,1,5,Tuesday,8
19,PS,2010,1,5,Tuesday,8
56,PS,2010,1,5,Tuesday,9
19,PS,2010,1,5,Tuesday,9
38,PS,2010,1,5,Tuesday,9
56,PS,2010,1,5,Tuesday,10
18,PS,2010,1,5,Tuesday,10
47,PS,2010,1,5,Tuesday,10
86,PS,2010,1,5,Tuesday,11
13,PS,2010,1,5,Tuesday,11
27,PS,2010,1,5,Tuesday,11
62,PS,2010,1,5,Tuesday,13
21,PS,2010,1,5,Tuesday,13
26,PS,2010,1,5,Tuesday,13
41,NW,2010,1,5,Tuesday,14
26,PS,2010,1,5,Tuesday,14
54,PS,2010,1,5,Tuesday,14
61,PS,2010,1,5,Tuesday,15
22,PS,2010,1,5,Tuesday,15
49,PS,2010,1,5,Tuesday,15
125,PS,2010,1,5,Tuesday,16
11,PS,2010,1,5,Tuesday,16
24,PS,2010,1,5,Tuesday,16
90,PS,2010,1,5,Tuesday,17
3,PS,2010,1,5,Tuesday,17
17,PS,2010,1,5,Tuesday,17
74,NE,2010,1,5,Tuesday,18
6,NE,2010,1,5,Tuesday,18
13,PS,2010,1,5,Tuesday,18
51,PS,2010,1,5,Tuesday,19
3,PS,2010,1,5,Tuesday,19
8,PS,2010,1,5,Tuesday,19
58,PS,2010,1,5,Tuesday,20
4,PS,2010,1,5,Tuesday,20
43,NW,2010,1,5,Tuesday,21
2,PS,2010,1,5,Tuesday,21
3,NE,2010,1,5,Tuesday,21
52,NW,2010,1,5,Tuesday,22
9,PS,2010,1,5,Tuesday,22
7,PS,2010,1,5,Tuesday,22
30,PS,2010,1,5,Tuesday,23
2,PS,2010,1,5,Tuesday,23
5,PS,2010,1,5,Tuesday,23
83,PS,2010,1,6,Wednesday,0
7,PS,2010,1,6,Wednesday,0
11,PS,2010,1,6,Wednesday,0
1,PS,2010,1,6,Wednesday,1
1,PS,2010,1,6,Wednesday,2
1,PS,2010,1,6,Wednesday,5
3,PS,2010,1,6,Wednesday,6
24,PS,2010,1,6,Wednesday,7
3,PS,2010,1,6,Wednesday,7
4,PS,2010,1,6,Wednesday,7
84,PS,2010,1,6,Wednesday,8
6,PS,2010,1,6,Wednesday,8
7,PS,2010,1,6,Wednesday,8
52,PS,2010,1,6,Wednesday,9
17,PS,2010,1,6,Wednesday,9
32,PS,2010,1,6,Wednesday,9
66,PS,2010,1,6,Wednesday,10
18,PS,2010,1,6,Wednesday,10
44,PS,2010,1,6,Wednesday,10
55,NE,2010,1,6,Wednesday,11
9,PS,2010,1,6,Wednesday,11
31,PS,2010,1,6,Wednesday,11
80,NW,2010,1,6,Wednesday,13
8,PS,2010,1,6,Wednesday,13
16,PS,2010,1,6,Wednesday,13
85,PS,2010,1,6,Wednesday,14
8,PS,2010,1,6,Wednesday,14
19,PS,2010,1,6,Wednesday,14
47,NW,2010,1,6,Wednesday,15
12,PS,2010,1,6,Wednesday,15
50,PS,2010,1,6,Wednesday,15
63,PS,2010,1,6,Wednesday,16
5,PE,2010,1,6,Wednesday,16
20,PE,2010,1,6,Wednesday,16
28,NW,2010,1,6,Wednesday,17
10,PS,2010,1,6,Wednesday,17
43,PS,2010,1,6,Wednesday,17
50,PS,2010,1,6,Wednesday,18
1,PS,2010,1,6,Wednesday,18
11,PS,2010,1,6,Wednesday,18
40,NW,2010,1,6,Wednesday,19
12,PS,2010,1,6,Wednesday,19
26,PS,2010,1,6,Wednesday,19
39,PS,2010,1,6,Wednesday,20
8,PS,2010,1,6,Wednesday,20
17,PS,2010,1,6,Wednesday,20
27,PS,2010,1,6,Wednesday,21
9,PS,2010,1,6,Wednesday,21
15,PS,2010,1,6,Wednesday,21
21,NW,2010,1,6,Wednesday,22
16,PS,2010,1,6,Wednesday,22
22,PS,2010,1,6,Wednesday,22
14,PS,2010,1,6,Wednesday,23
11,PS,2010,1,6,Wednesday,23
13,NE,2010,1,6,Wednesday,23
52,NE,2010,1,7,Thursday,0
13,PS,2010,1,7,Thursday,0
41,PS,2010,1,7,Thursday,0
1,NW,2010,1,7,Thursday,1
1,PS,2010,1,7,Thursday,4
3,PS,2010,1,7,Thursday,5
2,PS,2010,1,7,Thursday,6
1,PS,2010,1,7,Thursday,6
23,PS,2010,1,7,Thursday,7
2,PS,2010,1,7,Thursday,7
4,PS,2010,1,7,Thursday,7
