year,month,day,hour,reason
2016,11,9,1,TT
2016,11,9,2,TT
2016,11,9,3,TT
2016,11,9,4,TT
2016,11,9,5,TT
2016,11,9,6,TT
2016,11,9,7,TT
2016,11,9,8,TT
2016,11,9,9,TT
2016,11,9,10,TT
2016,11,9,11,TT
2016,11,9,12,TT
2016,11,9,13,TT
2016,11,9,14,TT
2016,11,9,15,TT
2016,11,9,16,TT
2016,11,9,17,TT
2016,11,9,18,TT
2016,11,9,19,TT
2016,11,9,20,TT
2016,11,9,21,TT
2016,11,9,22,TT
2016,11,9,23,TT
2016,11,10,0,TT
2016,11,10,1,TT
2016,11,10,2,TT
2016,11,10,3,TT
2016,11,10,4,TT
2016,11,10,5,TT
2016,11,10,6,TT
2016,11,10,7,TT
2016,11,10,8,TT
2016,11,10,9,TT
2016,11,10,10,TT
2016,11,10,11,TT
2016,11,10,12,TT
2016,11,10,13,TT
2016,11,10,14,TT
2016,11,10,15,TT
2016,11,10,16,TT
2016,11,10,17,TT
2016,11,10,18,TT
2016,11,10,19,TT
2016,11,10,20,TT
2016,11,10,21,TT
2016,11,10,22,TT
2016,11,10,23,TT
2016,11,11,0,TT
2016,11,11,1,TT
2016,11,11,2,TT
2016,11,11,3,TT
2016,11,11,4,TT
2016,11,11,5,TT
2016,11,11,6,TT
2016,11,11,7,TT
2016,11,11,8,TT
2016,11,11,9,TT
2016,11,11,10,TT
2016,11,11,11,TT
2016,11,11,12,TT
2016,11,11,13,TT
2016,11,11,14,TT
2016,11,11,15,TT
2016,11,11,16,TT
2016,11,11,17,TT
2016,11,11,18,TT
2016,11,11,19,TT
2016,11,11,20,TT
2016,11,11,21,TT
2016,11,11,22,TT
2016,11,11,23,TT
2016,11,12,0,TT
2016,11,12,1,TT
2016,11,12,2,TT
2016,11,12,3,TT
2016,11,12,4,TT
2016,11,12,5,TT
2016,11,12,6,TT
2016,11,12,7,TT
2016,11,12,8,TT
2016,11,12,9,TT
2016,11,12,10,TT
2016,11,12,11,TT
2016,11,12,12,TT
2016,11,12,13,TT
2016,11,12,14,TT
2016,11,12,15,TT
2016,11,12,16,TT
2016,11,12,17,TT
2016,11,12,18,TT
2016,11,12,19,TT
2016,11,12,20,TT
2016,11,12,21,TT
2016,11,12,22,TT
2016,11,12,23,TT
2016,11,13,0,TT
2016,11,13,1,TT
2016,11,13,2,TT
2016,11,13,3,TT
2016,11,13,4,TT
2016,11,13,5,TT
2016,11,13,6,TT
2016,11,13,7,TT
2016,11,13,8,TT
2016,11,13,9,TT
2016,11,13,10,TT
2016,11,13,11,TT
2016,11,13,12,TT
2016,11,13,13,TT
2016,11,13,14,TT
2016,11,13,15,TT
2016,11,13,16,TT
2016,11,13,17,TT
2016,11,13,18,TT
2016,11,13,19,TT
2016,11,13,20,TT
2016,11,13,21,TT
2016,11,13,22,TT
2016,11,13,23,TT
2016,11,14,0,TT
2016,11,14,1,TT
2016,11,14,2,TT
2016,11,14,3,TT
